OLD_NAME;OLD_ID;NEW_NAME;NEW_XML_ID
Керн-терьер;12511381;Керн-терьер;
Той-терьер;10963288;Той-терьер;20000068
Уэст-хайленд-уайт-терьер;10963291;Вест-хайленд-уайт терьер;20000019
Фокстерьер Гладкошерстный;10963294;Фокстерьер;20000070
Фокстерьер Жесткошерстный;10963297;Фокстерьер;20000070
Французский Брак;10963300;Французский бракк;
Французский Бульдог;10963303;Французский бульдог;20000071
Чау-чау;10963306;Чау-чау;20000075
Чихуахуа;10963309;Чихуахуа;20000077
Шарпей;10963312;Шарпей;20000078
Ши-тцу;10963315;Ши-тцу;20000080
Шнауцер;10963318;Шнауцер;20000097
Эрдельтерьер;10963321;Эрдельтерьер;20000082
Японский Шпиц;10963324;Японский шпиц;20000081
Ирландский Сеттер;10963327;Ирландский сеттер;20000055
Кавказская Овчарка;10963330;Кавказская овчарка;20000028
Алабай или среднеазиатская овчарка;10963333;Алабай;
Лабрадор Ретривер;10963336;Лабрадор ретривер;
Лабрадор;10963339;Лабрадор;20000033
Восточно-европейская овчарка;10963186;Восточно-европейская овчарка;20000020
Далматин;10963189;Далматин;20000022
Доберман;10963192;Доберман;20000023
Западносибирская Лайка;10963198;Западносибирская лайка;
Кане Корсо;10963201;Кане-корсо;20000029
Карликовый Пинчер;10963204;Карликовый пинчер;20000042
Китайская Хохлатая собака;10963207;Китайская хохлатая собака;20000031
Колли;10963210;Колли;20000032
Мальтийская Болонка;10963213;Мальтийская болонка;20000035
Мастино-наполетано;10963216;Неаполитанский мастиф;
Миттельшнауцер;10963219;Миттельшнауцер;20000037
Мопс;10963222;Мопс;20000038
Московская Сторожевая;10963225;Московская сторожевая;
Немецкая Короткошерстная Легавая;10963228;Курцхаар;
Немецкая Овчарка;10963231;Немецкая овчарка;20000039
Немецкий Дог;10963234;Немецкий дог;20000024
Немецкий Шпиц;10963237;Немецкий шпиц;20000081
Ньюфаундленд;10963240;Ньюфаундленд;20000040
Пекинес;10963243;Пекинес;20000041
Померанский Шпиц;10963246;Померанский шпиц;20000081
Пудель;10963249;Пудель;20000045
Родезийский Риджбек;10963252;Родезийский риджбек;20000049
Ротвейлер;10963255;Ротвейлер;20000050
Русский Охотничий Спаниель;10963258;Русский охотничий спаниель;20000052
Русский Черный Терьер;10963261;Русский черный терьер;20000076
Самоедская Лайка (Арктический шпиц);10963264;Самоедская лайка;20000053
Сенбернар;10963267;Сенбернар;20000054
Сибирский Хаски;10963270;Сибирский хаски;20000072
Скотч-терьер;10963273;Скотч-терьер;20000057
Среднеазиатская Овчарка;10963276;Среднеазиатская овчарка;20000058
Стаффордширский Бультерьер;10963279;Стаффордширский бультерьер;20000060
Такса;10963282;Такса;20000096
Тибетский Спаниель;10963285;Тибетский спаниель;
Фокстерьер;10963099;Фокстерьер;20000070
Бернский Зенненхунд;10963102;Бернский зенненхунд;20000010
Бишон Фризе;10963105;Бишон фризе;
Боксёр Немецкий;10963108;Боксёр немецкий;
Вельш-корги;10963111;Вельш-корги;20000018
Джек-рассел-терьер;10963114;Джек-рассел-терьер;20000093
Золотистый ретривер;10963117;Золотистый ретривер;20000089
Йоркширский терьер;10963120;Йоркширский терьер;20000027
Американский Кокер-спаниель;10963123;Американский кокер-спаниель;
Аляскинский Маламут;10963126;Аляскинский маламут;
Бамбино;10963129;Бамбино;
Американский Стаффордширский терьер;10963132;Стаффордширский терьер;20000061
Американский Бульдог;10963135;Американский бульдог;20000001
Акита-ину;10963138;Акита-ину;
Английский бульдог;10963141;Английский бульдог;20000003
Канарский Дог;10963144;Канарский дог;
Лайка;10963147;Лайка;
Тибетский мастиф;10963150;Тибетский мастиф;20000016
Американский Питбультерьер;10963153;Американский питбультерьер;20000043
Английский Кокер-спаниель;10963156;Английский кокер-спаниель;
Английский Сеттер;10963159;Английский сеттер;20000055
Бассет-хаунд;10963162;Бассет-хаунд;20000008
Бельгийский Гриффон;10963168;Бельгийский гриффон;20000021
Бигль;10963171;Бигль;20000011
Бобтейл;10963174;Бобтейл;20000012
Бордер Колли;10963177;Бордер колли;
Бордосский Дог;10963180;Бордосский дог;20000014
Бультерьер;10963183;Бультерьер;20000017
Канадский сфинкс;12924409;Канадский сфинкс;20000092
Дворянка;10962994;Собака без породы;
Девон-рекс;10962997;Девон-рекс;
Донской Сфинкс;10963000;Донской сфинкс;20000092
Европейская кошка;10963006;Европейская кошка;
Корниш-рекс;10963009;Корниш-рекс;
Курильский Бобтейл;10963012;Курильский бобтейл;
Мейн-кун;10963015;Мейн-кун;20000087
Нибелунг;10963018;Нибелунг;
Ориентальная кошка;10963021;Ориентальная кошка;
Персидская кошка;10963024;Персидская кошка;20000090
Персидская шиншилла;10963027;Персидская шиншилла;
Русская Голубая кошка;10963030;Русская голубая кошка;
Сиамская кошка;10963033;Сиамская кошка;20000091
Сибирская кошка;10963036;Сибирская кошка;20000086
Скоттиш Фолд;10963039;Скоттиш фолд;
