XML_ID;NAME;ID;PROP_PET_BIRTHDAY;PROP_PET_CATEGORY;PROP_PET_SEX;PROP_USER_ID;PROP_PET_BREED;PROP_PET_BREED_OTHER;PROP_PET_PHOTO
10929340;лалалал;10929340;28.11.2002;10687;0;2433963;10963333;;/upload/iblock/cab/cabe13d764561d11e8dc0d4065c67727.jpg
10929340;лалалал;10929340;28.11.2002;10687;0;2433963;10963333;;/upload/iblock/574/57461be7fdcfd39fa1bd8d334131f48f.jpg
10929340;лалалал;10929340;28.11.2002;10687;0;2433963;10963333;;/upload/iblock/78e/78e16bb891591cc50471b1fe880f679b.jpg
10929601;лалалал;10929601;28.11.2002;10666;0;2433963;10962913;;
10953595;кошара;10953595;29.11.2015;10672;0;2433963;10962970;;/upload/iblock/ec0/ec0914e5deb7ca4934cbb2cb9675e4f5.jpg
10953595;кошара;10953595;29.11.2015;10672;0;2433963;10962970;;/upload/iblock/f35/f355cb606d4cff4c122ba06fa64417d2.jpg
11004871;4444;11004871;;10693;;2720260;10963345;;
11004892;555;11004892;;10666;;2720260;10962916;;
11005513;4444;11005513;;10693;;2720260;10963345;;
11005642;555;11005642;;10666;;2720260;10962916;;
11006008;555;11006008;;10666;;2720260;10962916;;
11006110;666;11006110;;10666;;2720260;10962916;;
11011765;12345;11011765;30.11.2017;10672;10890412;2722882;11142;леомрлииио;
11011798;ластатасшпммопомп;11011798;30.11.2017;10666;10890412;2722882;10962913;;
11011819;098;11011819;;10687;;2722882;10963123;;
11012020;па;11012020;;10666;10890412;2401685;10962922;;
11012044;про;11012044;;10687;;2401685;10963123;;
11175379;Лора ;11175379;27.06.2017;10687;10890418;125125;10963288;;/upload/iblock/1dd/1dd74c034db060c276d19202531f84e1.jpg
11175400;Бася;11175400;29.06.2016;10687;10890418;2569183;10963114;;/upload/iblock/e02/e02d92aa1363d5845b61d4bfcd263be2.jpg
11175403;Берти;11175403;14.05.2017;10672;10890412;2243843;10963036;;/upload/iblock/7b3/7b3ccc252d5115f04dfb5ebd1b2a0d67.jpg
11175439;Ларри ;11175439;08.03.2010;10672;10890412;125125;10963000;;/upload/iblock/1d6/1d610996f45a230ff4303ceccdf87001.jpg
11175493;Irish;11175493;23.10.2014;10672;10890418;20071;10962958;;/upload/iblock/79d/79d32bb254897c554d8f4275f01579af.jpg
11175598;Мартин;11175598;01.12.2010;10687;10890412;2401957;10963171;;/upload/iblock/6ca/6ca5a7b2fe4895356b901d10dfc8617e.jpg
11175622;Яков;11175622;26.12.2011;10693;10890412;2401957;10963357;;
11175661;Чонг;11175661;15.11.2014;10687;10890412;41207;10963306;;/upload/iblock/e33/e3380a8131565177ff0f37b5dc1f89b3.jpg
11175661;Чонг;11175661;15.11.2014;10687;10890412;41207;10963306;;/upload/iblock/141/1417e78ed10fec07e7352fb415d1c9f9.jpg
11175721;Брюс;11175721;14.08.2016;10672;10890412;1158331;10962985;;/upload/iblock/6bd/6bd7a04dc760ea2ee68ff9438382d891.jpg
11175769;Гуф ;11175769;25.07.2017;10687;10890412;2509627;10963270;;/upload/iblock/a6f/a6f0d06ef3633a48022013199ebbe864.jpg
11175886;Лакки;11175886;15.05.2009;10687;10890418;2729878;10963339;;
11175988;Сима;11175988;04.12.2011;10672;10890418;145755;10962961;;/upload/iblock/8e9/8e97f75b3f1b735c27589ca602570c62.jpg
11176048;Арчибальд;11176048;;10672;10890412;2206520;10963015;;
11176054;аква 60 литров;11176054;;10702;;145755;10963378;;/upload/iblock/d89/d898cc974f02428349de539738b4630c.jpg
11176120;Фрос;11176120;04.12.2005;10672;10890412;2327359;10963015;;
11176507;Алиса;11176507;04.12.2014;10687;10890418;61598;10963264;;
11176780;Делька;11176780;10.05.2008;10672;10890418;230218;10962973;;/upload/iblock/a28/a28d792284fe048250b6b11aafd2959f.jpg
11176915;Варя;11176915;10.10.2011;10672;10890418;230218;10962973;;/upload/iblock/71c/71cc6ad061b4d90d17fcf0738612574a.jpg
11176999;Муся;11176999;10.09.2013;10672;10890418;230218;10962973;;/upload/iblock/dac/dac749d71d7c66fe0c10e862a988f479.jpg
11177080;Мышуня ;11177080;27.07.2016;10672;10890418;2746438;;просто кошка;/upload/iblock/c07/c07df526ade4d490c9dcacaf47e79688.jpg
11177080;Мышуня ;11177080;27.07.2016;10672;10890418;2746438;;просто кошка;/upload/iblock/7fb/7fb1536c41fded7115a31b23b16f2004.jpg
11177224;Лася;11177224;01.06.2014;10672;10890418;1585320;10962973;;/upload/iblock/74f/74fd375408df1f242fe8a0c21128941b.jpg
11177248;Моська;11177248;01.01.2000;10672;10890418;2746438;11142;просто кошка;/upload/iblock/e8b/e8b32e09f4a4c88966742390031881e1.jpg
11177269;Сеня;11177269;17.09.2017;10672;10890412;1585320;10962973;;/upload/iblock/36e/36e31a58690ec54dc30a367236247a14.jpg
11177314;Боня;11177314;10.10.2014;10672;10890412;31168;10962973;;/upload/iblock/5df/5df69ba7318aec06dadca7bfa9da183c.jpg
11177479;Кексик;11177479;27.05.2016;10672;10890412;1600776;10962973;;/upload/iblock/ddd/ddddec4a9fea3ccdedbf853605c8aa00.jpg
11177479;Кексик;11177479;27.05.2016;10672;10890412;1600776;10962973;;/upload/iblock/9e9/9e967d8a65e1e796c94f7992758ab720.jpg
11177524;Федя;11177524;04.10.2014;10687;10890412;2367643;10963309;;
11178448;Жорик;11178448;15.03.2015;10687;10890412;60226;10963114;;
11178595;Тото ;11178595;23.09.2017;10687;;2543343;10963120;;
11178703;Райды;11178703;22.07.2014;10687;10890418;294834;10963339;;/upload/iblock/4a1/4a18fd8278909f3dbd685895f9c8ac98.jpg
11178703;Райды;11178703;22.07.2014;10687;10890418;294834;10963339;;/upload/iblock/66e/66ea9c8e6b24da1ef5ac07ae5b014e2f.jpg
11178925;Лекси;11178925;10.09.2017;10687;10890418;2689123;10963315;;/upload/iblock/e53/e5333a8eba00646145669fdd746935be.jpg
11179063;Джим;11179063;28.04.2016;10687;10890412;518864;10963231;;
11179087;Марс Фаворит Фанни Феллоу;11179087;09.02.2017;10687;10890412;1977234;10963237;;/upload/iblock/573/573a04f53bf256db272c54946a536e80.jpg
11179093;Муся;11179093;04.07.2015;10672;10890418;1180257;11142;пушистик;/upload/iblock/756/756292d53a2db4aeb29ba63807098ca9.jpg
11179171;Крыс;11179171;27.03.2016;10666;10890412;1180257;10962925;;/upload/iblock/074/074ffae09699c8302e24689bfe0f4d11.jpg
11179975;кампот;11179975;12.11.2017;10672;10890412;2738407;10962970;;/upload/iblock/9f6/9f66282c4c825ed7cd845ff3c6c1b2f1.jpg
