name;country;address;address-add;phone;url;rubric-id;working-time;lat;lon;name,country,address,address-add,phone,url,rubric-id,working-time,lat,lon
Четыре Лапы;Россия;Москва, 3-й Митинский переулок, д. 3;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.847674;37.349434;
Четыре Лапы;Россия;Воронеж, ул. Генерала Лизюкова, д. 60;Аксиома;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;51.706232965781;39.149554933782;
Четыре Лапы;Россия;Ярославль, Ленинградский пр-т, д. 123;Альтаир;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;57.698011597635;39.758087103093;
Четыре Лапы;Россия;Сергиев Посад, ул. Вифанская, д. 29;Карусель;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 09:00 - 21:00;56.309377965637;38.144160789601;
Четыре Лапы;Россия;Москва, Генерала Белова, д. 59;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.602946627217;37.727437831929;
Четыре Лапы;Россия;Иваново, пр-т Строителей, д. 25;Ясень;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;56.965275234585;40.989983683738;
Четыре Лапы;Россия;Москва, ул. Новокосинская, д. 8, к. 2;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.733517038887;37.856669183738;
Четыре Лапы;Россия;Москва, ул. Саянская, д. 8А;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 22:00;55.767166997485;37.828813462837;
Четыре Лапы;Россия;Москва, ул. Магнитогорская, д. 2;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.772448527449;37.820999526222;
Четыре Лапы;Россия;Ярославль, Ленинградский пр-т, д. 54а;Лента;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;57.68951474001;39.779999341041;
Четыре Лапы;Россия;Долгопрудный, Старо - Дмитровское ш., д. 11;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.964428;37.530094;
Четыре Лапы;Россия;Москва, ул. Декабристов, д. 35Г;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.861833;37.613575;
Четыре Лапы;Россия;Москва, Ленинградский пр-т, д. 74А;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.806940;37.516925;
Четыре Лапы;Россия;Реутов, ул. Ленина, д. 1А;Карат;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.753321;37.857773;
Четыре Лапы;Россия;Москва, ул. Шипиловская, д. 50 к. 1 с. 1;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.621221;37.737632;
Четыре Лапы;Россия;Москва, ул. Митинская, д. 36;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.846118;37.363376;
Четыре Лапы;Россия;Серпухов, ул. Советская, вл. 111;;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;54.935069;37.448411;
Четыре Лапы;Россия;Москва, ул. Инженерная, д. 5;Марка;8 (800) 770-00-22;https://4lapy.ru;184107222, 184107214;ежедн. 10:00 - 21:00;55.879071;37.579412;
